group_classification,locations,point_lat,point_lng,geographical_relationship,distance_to_local
local,"(42.028211,-93.642077); (37.31097,-97.38359); (39.037037,-94.574946)",39.037037,-94.574946,domestic,N/A
non-local,"(32.77288,-117.072466); (35.991986,-78.899326); (42.95815,-71.2595); (35.715503,-81.317334); (32.8767652,-117.237966); (41.89997333,-71.029875); (33.13609,-117.271487)",N/A,N/A,N/A,N/A
remote,"(43.74636459,143.85495)",43.74636459,143.85495,cross border,9101.525011620644
remote,"(-34.6036311,-58.3815618)",-34.6036311,-58.3815618,cross border,8994.8363558075
