group_classification,locations,point_lat,point_lng,geographical_relationship
local,"(41.89997333,-71.029875); (35.991986,-78.899326); (42.95815,-71.2595)",41.89997333,-71.029875,domestic
non-local,,N/A,N/A,N/A
remote,"(32.77288,-117.072466); (32.8767652,-117.237966); (33.13609,-117.271487)",32.77288,-117.072466,ADD FUNCTIONALITY LATER
remote,"(37.31097,-97.38359); (42.028211,-93.642077); (39.037037,-94.574946)",39.037037,-94.574946,ADD FUNCTIONALITY LATER
remote,"(-34.6036311,-58.3815618)",-34.6036311,-58.3815618,ADD FUNCTIONALITY LATER
remote,"(43.74636459,143.85495)",43.74636459,143.85495,ADD FUNCTIONALITY LATER
remote,"(35.715503,-81.317334)",35.715503,-81.317334,ADD FUNCTIONALITY LATER
